Entity, Type, Location1
"Hollywood Studios","Park",
"Animal Kingdom","Park",
"Magic Kingdom","Park",
"Epcot","Park",
"Disneyland","Park",
"California Adventure","Park"
"Astro Orbiter","Ride","Magic Kingdom"
"The Barnstormer,"Ride","Magic Kingdom"
"Big Thunder Mountain Railroad,"Ride","Magic Kingdom"
"Buzz Lightyear's Space Ranger Spin,"Ride","Magic Kingdom"
"CaseyJr, Splash 'N' Soak Station,"Ride","Magic Kingdom"
"Cinderella Castle,"Attraction","Magic Kingdom"
"Country Bear Jamboree","Attraction","Magic Kingdom"
"Dumbo the Flying Elephant","Ride","Magic Kingdom"
"Enchanted Tales with Belle","Attraction","Magic Kingdom"
"Enchanted Tiki Room","Attraction","Magic Kingdom"
"Frontierland Shootin' Arcade","Attraction","Magic Kingdom"
"The Hall of Presidents","Attraction","Magic Kingdom"
"Haunted Mansion","Ride","Magic Kingdom"
"It's a Small World","Ride","Magic Kingdom"
"Jungle Cruise","Ride","Magic Kingdom"
"Liberty Square Riverboat","Ride","Magic Kingdom"
"Mad Tea Party","Ride","Magic Kingdom"
"The Magic Carpets of Aladdin","Ride","Magic Kingdom"
"Main Street Vehicles – Themed Area","Attraction","Magic Kingdom"
"The Many Adventures of Winnie the Pooh","Ride","Magic Kingdom"
"Mickey's PhilharMagic","Attraction","Magic Kingdom"
"Mickey's Royal Friendship Faire stage show","Attraction","Magic Kingdom"
"Monsters, Inc. Laugh Floor","Attraction","Magic Kingdom"
"Peter Pan's Flight","Ride","Magic Kingdom"
"A Pirate's Adventure ~ Treasures of the Seven Seas","Attraction","Magic Kingdom"
"Pirates of the Caribbean","Ride","Magic Kingdom"
"Prince Charming Regal Carrousel","Ride","Magic Kingdom"
"Seven Dwarfs Mine Train","Ride","Magic Kingdom"
"Sorcerers of the Magic Kingdom","Attraction","Magic Kingdom"
"Space Mountain","Ride","Magic Kingdom"
"Splash Mountain","Ride","Magic Kingdom"
"Swiss Family Treehouse","Attraction","Magic Kingdom"
"Tom Sawyer Island","Ride","Magic Kingdom"
"Tom Sawyer's 555","Attraction","Magic Kingdom"
"Tomorrowland Speedway","Ride","Magic Kingdom"
"Tomorrowland Transit Authority PeopleMover","Ride","Magic Kingdom"
"Under the Sea ~ Journey of The Little Mermaid","Ride","Magic Kingdom"
"Walt Disney World Railroad","Ride","Magic Kingdom"
"Walt Disney's Carousel of Progress","Attraction","Magic Kingdom"
"Advanced Training Lab","Attraction","Epcot"
"The American Adventure","Attraction","Epcot"
"American Heritage Gallery","Attraction","Epcot"
"Awesome Planet","Attraction","Epcot"
"Beauty and the Beast: Sing-Along","Attraction","Epcot"
"Bijutsu-kan Gallery","Attraction","Epcot"
"Canada: Far and Wide","Attraction","Epcot"
"Disney & Pixar Short Film Festival","Attraction","Epcot"
"Meet and Greet Anna and Elsa from Frozen","Attraction","Epcot"
"Gallery of Arts and History","Attraction","Epcot"
"Gran Fiesta Tour Starring The Three Caballeros","Attraction","Epcot"
"House of the Whispering Willows","Attraction","Epcot"
"ImageWorks: The What-If Labs","Attraction","Epcot"
"Impressions de France","Attraction","Epcot"
"Journey into Imagination with Figment","Ride","Epcot"
"Kidcot Fun Stops","Attraction","Epcot"
"Living with the Land","Ride","Epcot"
"Frozen Ever After","Attraction","Epcot"
"Mexico Folk Art Gallery","Attraction","Epcot"
"Mission: SPACE","Ride","Epcot"
"Project Tomorrow: Inventing the Wonders of the Future","Attraction","Epcot"
"Reflections of China","Attraction","Epcot"
"SeaBase","Attraction","Epcot"
"The Seas with Nemo & Friends","Attraction","Epcot"
"Soarin'","Ride","Epcot"
"Spaceship Earth","Attraction","Epcot"
"Stave Church Gallery","Attraction","Epcot"
"Test Track","Ride","Epcot"
"Turtle Talk with Crush","Attraction","Epcot"
"Alien Swirling Saucers","Ride","Holllywood Studios"
"Beauty and the Beast Live on Stage","Attraction","Hollywood Studios"
"Celebrity Spotlight","Attraction","Hollywood Studios"
"Disney Junior Play & Dance!","Attraction","Hollywood Studios"
"Fantasmic!","Attraction","Hollywood Studios"
"For the First Time in Forever: A Frozen Sing-Along Celebration","Attraction","Hollywood Studios"
"Mickey and Minnie's Runaway Railway","Ride","Hollywood Studios"
"Indiana Jones Epic Stunt Spectacular!","Attraction","Hollywood Studios"
"Jedi Training: Trials of the Temple","Attraction","Hollywood Studios"
"Lightning McQueen's Racing Academy","Attraction","Hollywood Studios"
"Mickey Short Theater","Attraction","Hollywood Studios"
"Millennium Falcon Smugglers Run","Ride","Hollywood Studios"
"Muppet Vision 3D","Attraction","Hollywood Studios"
"Star Wars Rise of the Resistance","Ride","Hollywood Studios"
"Rock 'n' Roller Coaster Starring Aerosmith","Ride","Hollywood Studios"
"Slinky Dog Dash","Ride","Hollywood Studios"
"Star Wars Launch Bay","Attraction","Hollywood Studios"
"Star Tours: The Adventures Continue","Ride","Hollywood Studios"
"Star Wars: A Galactic Spectacular","Attraction","Hollywood Studios"
"Toy Story Mania!","Ride","Hollywood Studios"
"The Twilight Zone Tower of Terror","Ride","Hollywood Studios"
"Voyage of the Little Mermaid","Ride","Hollywood Studios"
"Walt Disney Presents","Attraction","Hollywood Studios"
"Affection Section","Attraction","Animal Kingdom"
"Avatar Flight of Passage","Ride","Animal Kingdom"
"The Boneyard","Attraction","Animal Kingdom"
"Conservation Station","Attraction","Animal Kingdom"
"Cretaceous Trail","Attraction","Animal Kingdom"
"Dinosaur","Ride","Animal Kingdom"
"Dino Sue","Attraction","Animal Kingdom"
"Discovery Island Trails","Attraction","Animal Kingdom"
"Expedition Everest: Legend of the Forbidden Mountain","Ride","Animal Kingdom"
"Fossil Fun Games","Attraction","Animal Kingdom"
"Finding Nemo - The Musical","Attraction","Animal Kingdom"
"Habitat Habit!","Attraction","Animal Kingdom"
"It's Tough to be a Bug!","Attraction","Animal Kingdom"
"Kali River Rapids","Ride","Animal Kingdom"
"Kilimanjaro Safaris","Ride","Animal Kingdom"
"Maharajah Jungle Trek","Attraction","Animal Kingdom"
"Na'vi River Journey","Ride","Animal Kingdom"
"The Oasis Exhibits","Attraction","Animal Kingdom"
"Pangani Forest Exploration Trail","Attraction","Animal Kingdom"
"Tree of Life","Attraction","Animal Kingdom"
"TriceraTop Spin","Ride","Animal Kingdom"
"UP! A Great Bird Adventure","Attraction","Animal Kingdom"
"Wild Africa Trek","Attraction","Animal Kingdom"
"Wilderness Explorers","Attraction","Animal Kingdom"
"Wildlife Express Train","Ride","Animal Kingdom"
"Festival of the Lion King","Attraction","Animal Kingdom"
"Disney's All-Star Movies Resort","Resort"
"Disney's All-Star Music Resort","Resort"
"Disney's All-Star Sports Resort","Resort"
"Disney's Art of Animation Resort","Resort"
"Disney's Pop Century Resort","Resort"
"The Campsites at Disney's Fort Wilderness Resort","Resort"
"Disney's Caribbean Beach Resort,"Resort"
"Disney's Coronado Springs Resort,"Resort"
"Disney's Port Orleans Resort - French Quarter,"Resort"
"Disney's Port Orleans Resort - Riverside,"Resort"
"The Cabins at Disney's Fort Wilderness Resort,"Resort"
"Disney's Animal Kingdom Lodge,"Resort"
"Disney's Beach Club Resort,"Resort"
"Disney's BoardWalk Inn,"Resort"
"Disney's Contemporary Resort,"Resort"
"Disney's Grand Floridian Resort & Spa,"Resort"
"Disney's Polynesian Village Resort,"Resort"
"Disney's Wilderness Lodge,"Resort"
"Disney's Yacht Club Resort,"Resort"
"Bay Lake Tower at Disney's Contemporary Resort,"Resort"
"Boulder Ridge Villas at Disney's Wilderness Lodge,"Resort"
"Copper Creek Villas & Cabins at Disney's Wilderness Lodge,"Resort"
"Disney's Animal Kingdom Villas - Jambo House,"Resort"
"Disney's Animal Kingdom Villas - Kidani Village,"Resort"
"Disney's Beach Club Villas,"Resort"
"Disney's BoardWalk Villas,"Resort"
"Disney's Old Key West Resort,"Resort"
"Disney's Polynesian Villas & Bungalows,"Resort"
"Disney’s Riviera Resort,"Resort"
"Disney's Saratoga Springs Resort & Spa,"Resort"
"The Villas at Disney's Grand Floridian Resort & Spa,"Resort"
"Disney's Grand Californian Hotel & Spa","Resort"
"Disneyland Hotel","Resort"
"Disney's Paradise Pier Hotel","Resort"

